Neighborhood,Ward,Latitude,Longitude,Borough,Total Population,Population Male,Population Female,Sex Ratio,No.of Houses,Area Hectare,Population Density,Avg. Price,SqftPrice Min,SqftPrice Max,Properties
Nakshtrawadi,104,19.8131288,75.2872563,S-A,13648,6874,6774,985,2012,23.4,583,4483,2603,6363,2
Sudhakar Nagar,105,19.8360543,75.309579,S-A,5681,2897,2784,961,451,13.2,430,5530,4215,6845,2
Pratap nagar,106,19.857840200000002,75.3243551,S-A,7031,3542,3489,985,498,10.2,689,4476,2368,6584,1
Mayurban Colony,107,19.855268,75.3331025,S-A,8368,4254,4114,967,840,12.1,691,1969,1248,2689,2
Gadia Vihar,108,19.8553605,75.3383266,S-A,20136,10124,10012,989,1480,24.01,838,4857,4000,5714,3
Kabra Nagar,109,19.8555605,75.3435977,S-A,15509,7854,7655,975,970,21.25,729,9050,7854,10245,5
Shivaji Nagar,110,19.859590100000002,75.3410221,S-A,17086,8574,8512,993,1401,18.24,936,3854,3264,4444,13
Bharat Nagar,111,19.8673751,75.336667,S-A,7031,3542,3489,985,498,10.2,689,2180,1145,3214,2
Deolai,112,19.8389035,75.3352393,S-A,22443,11455,10988,959,3514,34.01,659,3558,850,6265,24
Hari Om Nagar,113,19.8375905,75.3518907,S-A,8823,4524,4299,950,1011,20.1,438,3824,2235,5412,2
Sangram Nagar,114,19.840713,75.3246238,S-A,20276,10154,10122,997,980,21.01,965,2796,2062,3529,25
Satara Parisar,115,19.848305,75.2978043,S-A,35995,18015,17980,998,5402,61.02,589,3638,1562,5714,23
Waluj,116,19.83267,75.19974,WAL,31000,15550,15450,994,2340,32.0,969,5147,2462,7831,21
Aurangabad Cantonment,117,19.8790645,75.2881003,CAN,22000,11400,10600,930,120,38.2,576,4067,2345,5789,8
Dharmapur,118,19.85567,75.25695,WAL,4657,2347,2310,984,1012,12.3,379,2981,2413,490,2
Bajaj Nagar,119,19.84308,75.22908,WAL,25007,12487,12520,1003,4253,34.2,732,3446,3111,4117,3
